scene,trips,mean_TT,median_TT,p90_TT,mean_timeLoss,mean_wait,avg_queue,avg_e1_speed
baseline,3050,186.05,172.50,297.05,104.46,61.69
adaptive,3050,183.73,171.00,290.05,102.13,60.43
